,kernel_sizes,filters,pool_sizes,FC_nodes,lr,performance
43,"[9, 9, 6, 3, 1]","[7, 14, 15, 22, 24]","[10, 8, 8, 7, 5]","[8, 4, 2]",0.0593711498935648,"[1.8112461566925049, 1.8112461566925049]"
44,"[9, 9, 1]","[7, 11, 22]","[9, 6, 5]",[128],0.01713103280457415,"[0.22898419201374054, 0.22898419201374054]"
45,"[10, 5, 4]","[13, 21, 24]","[10, 9, 4]",[32],6.115981780802676e-05,"[1.891064167022705, 1.891064167022705]"
46,"[10, 9, 2]","[6, 15, 20]","[8, 8, 1]",[8],1.0578440272886976e-05,"[2.008697986602783, 2.008697986602783]"
47,"[2, 1]","[13, 18]","[5, 4]",[2],0.00022876153565771045,"[0.5856174230575562, 0.5856174230575562]"
48,"[5, 2, 2, 1]","[7, 13, 16, 21]","[10, 10, 9, 1]",[2],0.033208436970441506,"[0.20564797520637512, 0.20564797520637512]"
49,"[8, 5, 4, 2]","[4, 6, 11, 18]","[9, 6, 5, 5]",[128],0.00826031050036638,"[0.20624136924743652, 0.20624136924743652]"
50,"[10, 5]","[16, 24]","[10, 1]","[128, 64, 16]",0.0010438169495987548,"[0.16827429831027985, 0.16827429831027985]"
51,[2],[2],[6],[2],1.6632649868165926e-05,"[28.985849380493164, 28.985849380493164]"
52,"[8, 8]","[10, 17]","[3, 1]",[8],7.292254296736739e-05,"[1.538224220275879, 1.538224220275879]"
53,"[9, 5]","[5, 16]","[8, 1]","[16, 2]",0.034988024762116786,"[1.9761608839035034, 1.9761608839035034]"
54,[6],[24],[10],"[64, 32, 8]",0.0001179013072815953,"[0.22021842002868652, 0.22021842002868652]"
55,"[10, 8, 7, 5, 3]","[6, 6, 10, 19, 21]","[10, 7, 3, 3, 2]","[64, 2]",0.027607266600861373,"[1.9676393270492554, 1.9676393270492554]"
56,[8],[19],[4],"[8, 4]",0.0006719170730083742,"[0.2628225088119507, 0.26282253861427307]"
57,"[10, 8, 8, 5, 4]","[7, 10, 16, 19, 24]","[9, 6, 5, 4, 3]","[128, 64, 4]",0.004524351393275762,"[0.18592043220996857, 0.18592043220996857]"
58,"[9, 7, 6, 5, 2]","[7, 7, 8, 9, 17]","[9, 7, 7, 3, 1]","[128, 16, 4]",1.743833194391609e-05,"[2.004894256591797, 2.004894256591797]"
59,"[8, 8, 6]","[3, 5, 18]","[9, 3, 1]",[2],8.890101914676526e-05,"[27.119247436523438, 27.119247436523438]"
60,"[9, 2]","[15, 16]","[4, 4]",[128],0.0004349657590723624,"[0.18857279419898987, 0.18857279419898987]"
61,"[10, 10, 6, 3]","[2, 4, 11, 22]","[8, 7, 6, 3]","[4, 2, 2]",0.020966231405392922,"[1.9673924446105957, 1.9673924446105957]"
62,[9],[14],[1],"[128, 64, 16]",0.00019779515839368555,"[1.8034945726394653, 1.8034945726394653]"
63,"[10, 8, 7, 5, 1]","[2, 8, 11, 22, 24]","[10, 9, 7, 6, 2]","[64, 16, 8]",0.08495820327906338,"[1.83663010597229, 1.83663010597229]"
64,"[8, 8, 4, 1]","[6, 11, 23, 24]","[9, 6, 4, 1]","[128, 128]",0.0012520609921523476,"[0.2031530737876892, 0.2031530737876892]"
65,"[10, 7, 6, 1, 1]","[4, 4, 7, 17, 17]","[8, 6, 6, 6, 4]","[32, 16]",0.0003744593674038335,"[1.4380857944488525, 1.4380857944488525]"
66,"[7, 7, 4, 2, 2]","[7, 8, 20, 23, 24]","[9, 9, 3, 2, 2]","[64, 32]",0.02425867242756677,"[2.0185775756835938, 2.0185775756835938]"
67,"[8, 7, 6]","[2, 11, 21]","[9, 8, 4]","[128, 64]",0.003979937991939201,"[0.19159071147441864, 0.19159071147441864]"
68,"[10, 8, 7, 4]","[3, 4, 5, 17]","[9, 6, 1, 1]",[128],0.01336425118635889,"[0.2254023551940918, 0.2254023551940918]"
69,[5],[16],[4],"[8, 4]",0.01502338196481901,"[2.21413516998291, 2.21413516998291]"
70,"[9, 3]","[23, 24]","[8, 5]","[128, 64, 16]",2.046275572680056e-05,"[2.0037050247192383, 2.0037050247192383]"
71,[6],[2],[8],[8],0.006858264197276687,"[0.21172787249088287, 0.21172787249088287]"
72,[5],[19],[3],[128],0.0001585541133397796,"[0.21119828522205353, 0.21119828522205353]"
73,"[10, 6, 4, 3, 1]","[6, 7, 7, 9, 18]","[10, 5, 4, 4, 2]",[2],0.034186697603891474,"[0.2120724618434906, 0.2120724618434906]"
74,"[10, 4, 4, 2, 1]","[1, 2, 4, 9, 24]","[10, 8, 8, 6, 4]",[4],0.0008300691095910534,"[12.954510688781738, 12.954510688781738]"
75,"[10, 7, 2]","[16, 17, 19]","[2, 2, 1]","[128, 32, 2]",0.0002595558701205936,"[1.953530192375183, 1.953530192375183]"
76,[9],[8],[5],"[128, 8, 2]",0.0031727625498724514,"[2.240553379058838, 2.240553379058838]"
77,"[4, 4]","[7, 8]","[8, 2]",[32],0.0011936030939348513,"[0.20974625647068024, 0.20974625647068024]"
78,"[8, 1]","[15, 21]","[9, 7]","[32, 4]",0.0003702191623979402,"[0.22462214529514313, 0.22462214529514313]"
79,"[10, 9, 4, 2]","[8, 16, 20, 24]","[9, 6, 6, 5]","[64, 4, 2]",0.0023789648622828384,"[3.0633819103240967, 3.0633819103240967]"
