,kernel_sizes,filters,pool_sizes,FC_nodes,lr,performance
44,"[8, 3, 1, 1]","[3, 7, 10, 11]","[5, 4, 3, 2]","[128, 4, 2]",0.05560811092808488,"[0.9779679775238037, 0.9779679775238037]"
45,"[10, 1]","[5, 7]","[4, 3]","[16, 8, 2]",0.001628235428841373,"[0.8822765946388245, 0.8822765946388245]"
46,"[5, 5, 3, 3]","[7, 7, 8, 18]","[6, 6, 5, 2]",[4],0.001152557244615533,"[0.8643738031387329, 0.8643738031387329]"
47,[8],[14],[2],"[128, 64, 64]",0.00828815482851021,"[0.19574904441833496, 0.19574904441833496]"
48,[2],[5],[2],[4],4.112208566102935e-05,"[0.984410285949707, 0.984410285949707]"
49,"[10, 8, 6, 1]","[3, 8, 9, 10]","[8, 8, 8, 6]","[8, 8]",0.0030382706748492013,"[0.4838578701019287, 0.4838578701019287]"
50,"[7, 7, 6, 5]","[8, 12, 18, 24]","[6, 5, 4, 2]","[32, 4]",9.034448446453533e-05,"[0.9800498485565186, 0.9800498485565186]"
51,"[9, 9, 9, 7, 7]","[3, 11, 12, 21, 24]","[10, 10, 8, 3, 3]",[128],0.0001072207259558173,"[0.9824517369270325, 0.9824517369270325]"
52,"[8, 8, 5, 4]","[12, 19, 23, 24]","[10, 8, 5, 2]","[64, 2, 2]",1.0790753791069135e-05,"[38.57684326171875, 38.57684326171875]"
53,[2],[22],[3],[4],0.0007303676665273106,"[0.9589022397994995, 0.9589022397994995]"
54,[9],[12],[10],"[64, 64]",0.00012394801707374682,"[0.9826473593711853, 0.9826473593711853]"
55,"[9, 3, 1]","[10, 20, 20]","[9, 2, 2]","[32, 2]",0.00011092368918863227,"[0.9799078702926636, 0.9799078702926636]"
56,"[9, 8, 7, 7, 3]","[2, 6, 10, 16, 19]","[10, 8, 6, 6, 2]",[8],0.01961238926580968,"[0.3673824965953827, 0.3673824965953827]"
57,"[6, 4, 3]","[8, 9, 9]","[8, 8, 4]","[8, 8, 4]",0.00031277818341646175,"[0.9608404636383057, 0.9608404636383057]"
58,[8],[5],[3],[2],6.842742995134105e-05,"[0.9884191751480103, 0.9884191751480103]"
59,"[7, 5]","[14, 24]","[7, 6]",[4],0.014138767900639263,"[0.3648264706134796, 0.3648264706134796]"
60,"[6, 4, 4, 1]","[10, 12, 14, 16]","[10, 8, 8, 4]","[4, 4, 2]",0.011813732648493542,"[0.40503260493278503, 0.40503260493278503]"
61,[5],[15],[1],[4],0.0006938371565207825,"[0.990196943283081, 0.990196943283081]"
62,"[6, 5, 1]","[2, 4, 19]","[6, 5, 3]","[64, 8]",2.34913406458322e-05,"[0.9840714931488037, 0.9840714931488037]"
63,"[8, 5, 2, 1, 1]","[3, 6, 11, 22, 23]","[9, 9, 8, 8, 2]","[128, 64]",0.09846279982516457,"[1.0043095350265503, 1.0043096542358398]"
64,"[9, 7, 2]","[5, 15, 24]","[9, 7, 1]",[8],0.007599933898961031,"[0.5428977608680725, 0.5428977608680725]"
65,"[8, 6, 3, 2]","[3, 9, 15, 18]","[10, 6, 3, 2]","[32, 32, 4]",0.0005162767529890303,"[0.9576939940452576, 0.9576939940452576]"
66,"[1, 1]","[13, 20]","[8, 7]","[128, 128, 64]",0.007222557565019705,"[0.3618052005767822, 0.3618052005767822]"
67,"[9, 2, 1]","[7, 16, 21]","[6, 6, 3]",[8],0.0004993797251739407,"[0.9540550112724304, 0.9540550112724304]"
68,"[5, 2]","[9, 19]","[9, 4]",[128],0.03876579391963987,"[0.7408656477928162, 0.7408656477928162]"
69,"[7, 7, 4, 2, 2]","[2, 4, 6, 10, 14]","[10, 6, 5, 3, 2]","[128, 32, 8]",0.0358853384565861,"[0.49350449442863464, 0.49350449442863464]"
70,"[10, 9, 5, 5]","[4, 4, 6, 9]","[9, 4, 2, 1]","[64, 32, 8]",0.0012390378435324638,"[0.898729145526886, 0.898729145526886]"
71,"[10, 8, 5, 5, 1]","[4, 7, 11, 11, 18]","[9, 7, 6, 5, 3]","[32, 2]",0.043486274330705774,"[0.89300137758255, 0.89300137758255]"
72,"[10, 7, 6, 6, 3]","[2, 3, 12, 15, 17]","[8, 6, 6, 4, 1]","[64, 32]",0.057512905910898936,"[0.8140509128570557, 0.8140509128570557]"
73,"[7, 5, 3]","[17, 17, 20]","[9, 6, 2]",[16],0.012848268993527336,"[0.31676045060157776, 0.31676045060157776]"
74,"[8, 6]","[12, 15]","[9, 5]","[128, 128]",6.193671939849429e-05,"[0.9762991666793823, 0.9762991666793823]"
75,[8],[8],[8],[64],0.06416676139473747,"[1.2367258071899414, 1.2367258071899414]"
76,"[10, 8, 7, 2, 1]","[11, 16, 17, 19, 21]","[9, 6, 5, 1, 1]",[2],0.011679472755814591,"[0.10677564144134521, 0.10677564144134521]"
77,"[10, 8, 5, 4, 1]","[4, 13, 14, 20, 20]","[5, 5, 4, 2, 1]","[8, 2]",0.02043502086305693,"[0.5813435912132263, 0.5813435912132263]"
78,"[9, 5, 3, 2]","[5, 6, 8, 14]","[5, 3, 3, 2]","[64, 16, 16]",0.01177518866758263,"[0.9823317527770996, 0.9823317527770996]"
79,[7],[5],[2],[32],0.006127653179760168,"[0.678665280342102, 0.678665280342102]"
80,[4],[22],[1],"[128, 128, 2]",0.0013655807640329783,"[0.863618016242981, 0.863618016242981]"
81,"[9, 6, 3]","[1, 2, 22]","[6, 4, 4]","[128, 64, 32]",0.0017065517430698753,"[0.7403451800346375, 0.7403451800346375]"
82,"[10, 4]","[2, 19]","[6, 6]","[128, 16, 4]",3.270778813822277e-05,"[0.986406683921814, 0.986406683921814]"
83,[6],[8],[4],"[64, 16, 16]",0.0014663620021576388,"[0.8243784308433533, 0.8243784308433533]"
84,"[10, 10, 9, 9, 3]","[11, 13, 14, 22, 22]","[10, 8, 7, 5, 1]",[4],0.0026581709615596644,"[0.6774764657020569, 0.6774764657020569]"
85,"[4, 1]","[9, 16]","[5, 1]","[128, 16]",0.04092790703856277,"[0.8241255283355713, 0.8241255283355713]"
86,[6],[8],[2],[64],6.781366964125511e-05,"[0.9831169247627258, 0.9831169247627258]"
87,"[4, 3, 2]","[2, 16, 23]","[9, 7, 6]","[32, 8, 2]",1.8385225637732075e-05,"[0.9849799275398254, 0.9849799275398254]"
