,kernel_sizes,filters,pool_sizes,FC_nodes,lr,performance
0,"[10, 9, 9, 5]","[4, 7, 10, 19]","[10, 7, 6, 5]","[64, 16, 2]",6.037410231908669e-05,"[27.84526824951172, 27.84526824951172]"
1,"[9, 4]","[15, 18]","[1, 1]","[128, 16]",4.405798429233765e-05,"[1.9118614196777344, 1.9118614196777344]"
2,"[10, 6, 3, 2, 1]","[3, 7, 12, 14, 20]","[10, 6, 5, 1, 1]",[2],0.002919413491544204,"[0.2365323007106781, 0.2365323007106781]"
3,"[10, 7, 7, 7, 1]","[4, 5, 14, 21, 23]","[9, 7, 4, 2, 1]","[32, 16, 16]",3.7824898818738915e-05,"[1.8924554586410522, 1.8924554586410522]"
4,"[9, 9, 6, 5]","[2, 4, 10, 16]","[8, 7, 6, 4]","[128, 8, 2]",0.00041300119620566106,"[19.86578941345215, 19.86578941345215]"
5,"[6, 3, 3]","[2, 10, 16]","[7, 4, 3]",[128],2.6464438335648126e-05,"[1.9432064294815063, 1.9432064294815063]"
6,"[8, 5]","[2, 2]","[7, 5]","[32, 2]",1.7251954862352244e-05,"[2.003711223602295, 2.003711223602295]"
7,[5],[24],[6],"[64, 64, 32]",0.010836378858956506,"[0.21129699051380157, 0.21129699051380157]"
8,[6],[8],[7],"[4, 2]",8.999850629888887e-05,"[1.8693125247955322, 1.8693125247955322]"
9,"[2, 2]","[6, 17]","[7, 3]",[128],0.0008599032552341025,"[1.5584615468978882, 1.5584615468978882]"
10,"[10, 9, 7, 4, 3]","[2, 4, 16, 18, 23]","[9, 6, 5, 4, 3]","[64, 4]",2.045821686716196e-05,"[1.9891852140426636, 1.9891852140426636]"
11,"[10, 9, 9]","[9, 11, 13]","[8, 2, 1]",[8],0.004269241879439088,"[0.17530369758605957, 0.17530369758605957]"
12,"[9, 5, 3, 3]","[4, 17, 22, 24]","[7, 5, 3, 1]","[64, 32]",0.011426509893211303,"[0.3371875584125519, 0.3371875584125519]"
13,"[7, 3, 3]","[15, 20, 23]","[8, 5, 1]","[32, 4, 4]",0.03481954610976184,"[1.9830397367477417, 1.9830397367477417]"
14,"[8, 5, 4, 4, 2]","[4, 5, 9, 18, 22]","[10, 8, 7, 5, 1]","[128, 8, 2]",1.778860932313587e-05,"[28.954421997070312, 28.954421997070312]"
15,"[9, 5]","[2, 7]","[4, 1]","[64, 32]",0.0008535878149882041,"[1.9362249374389648, 1.9362249374389648]"
16,[3],[2],[8],[16],0.0027846178663969647,"[0.24022363126277924, 0.24022363126277924]"
17,[5],[22],[2],[128],0.002432573131872037,"[0.17410102486610413, 0.17410102486610413]"
18,[2],[18],[1],"[32, 16]",0.002199822551476718,"[0.45325586199760437, 0.45325586199760437]"
19,[6],[9],[4],"[64, 4, 2]",0.0002632440565410397,"[22.99913215637207, 22.99913215637207]"
20,"[7, 6, 6, 2, 1]","[1, 5, 13, 20, 24]","[10, 9, 8, 7, 2]","[128, 64, 4]",0.00013463676945291435,"[1.998617172241211, 1.998617172241211]"
21,"[10, 3]","[1, 7]","[6, 5]","[64, 2, 2]",0.0066107964243435425,"[0.5069518685340881, 0.5069518685340881]"
22,"[10, 7, 3, 3]","[7, 15, 19, 23]","[6, 4, 3, 3]","[128, 64, 4]",0.00011838447490333287,"[26.386409759521484, 26.386409759521484]"
23,"[7, 6, 4]","[12, 13, 23]","[3, 1, 1]",[32],0.0002666528908978508,"[1.7487646341323853, 1.7487646341323853]"
24,"[9, 9, 7, 6, 2]","[3, 6, 13, 14, 19]","[8, 7, 5, 3, 1]","[128, 16]",0.0011748259680171883,"[0.20702439546585083, 0.20702439546585083]"
25,"[10, 6]","[1, 2]","[9, 2]","[128, 4, 2]",0.007869466702176161,"[0.33586886525154114, 0.33586886525154114]"
26,[10],[21],[5],"[128, 64, 32]",0.00013666373346984929,"[1.820074200630188, 1.820074200630188]"
27,[1],[1],[6],[16],0.003667116744615171,"[1.6571781635284424, 1.6571781635284424]"
28,"[9, 7, 5, 4, 2]","[1, 2, 3, 6, 14]","[9, 8, 6, 5, 5]",[128],0.09177061983763717,"[1.9679744243621826, 1.9679744243621826]"
29,[9],[11],[3],"[64, 64, 4]",0.0003470699102038114,"[21.200061798095703, 21.200061798095703]"
30,"[7, 5, 4]","[19, 22, 24]","[9, 8, 8]","[128, 64, 2]",0.0005694264888094376,"[16.975448608398438, 16.975448608398438]"
31,"[7, 2, 2, 1, 1]","[4, 16, 18, 18, 19]","[5, 5, 4, 2, 2]",[2],0.04601339006339551,"[1.9157345294952393, 1.9157345294952393]"
32,"[7, 5, 3]","[6, 10, 20]","[7, 7, 6]","[128, 64]",0.0008911453532405956,"[0.1871459037065506, 0.1871459037065506]"
33,"[9, 8]","[8, 24]","[3, 2]","[32, 16]",0.00038391760771227813,"[0.29008203744888306, 0.29008203744888306]"
34,"[5, 5]","[13, 13]","[7, 5]","[8, 2]",8.391214716724984e-05,"[27.246335983276367, 27.246335983276367]"
35,[8],[4],[3],"[32, 8, 4]",0.00022854165295635434,"[1.5234450101852417, 1.5234450101852417]"
36,"[6, 4, 2, 1]","[1, 20, 20, 23]","[9, 9, 8, 3]","[64, 2]",0.0007100053749915556,"[14.68887996673584, 14.68887996673584]"
37,[7],[11],[8],"[128, 64, 2]",0.00040741764101316364,"[19.982398986816406, 19.982398986816406]"
38,"[10, 8]","[5, 16]","[5, 5]","[32, 4, 2]",0.0001479791100932362,"[25.664331436157227, 25.664331436157227]"
39,[5],[18],[5],"[64, 16, 16]",0.007850384654135397,"[0.17715808749198914, 0.17715808749198914]"
40,"[9, 6, 3, 2, 1]","[4, 14, 21, 21, 23]","[9, 7, 4, 2, 1]","[128, 16]",2.045207879613013e-05,"[2.0278022289276123, 2.0278022289276123]"
